,time,open,high,low,close,volume,,,,,,
782,2021-05-04 18:00:00,131.366658278,131.366658278,131.366658278,131.366658278,105,,,,,,
783,2021-05-04 17:30:00,130.889779313,131.510621739,130.889779313,131.510621739,523,,,,,,
784,2021-05-04 17:00:00,131.14171537,131.14171537,130.87178388,130.87178388,434,,,,,,
785,2021-05-04 16:30:00,131.14171537,131.14171537,131.14171537,131.14171537,96023,,,,,,
786,2021-05-04 16:00:00,130.951143738,131.159710802,130.817797582,131.159710802,673404,,,,,,
787,2021-05-04 15:30:00,130.853788447,130.979756476,130.754813568,130.961761043,219837,,,,,,
788,2021-05-04 15:00:00,131.024745057,131.087729072,130.835793015,130.862786164,238392,,,,,,
789,2021-05-04 14:30:00,130.889779313,131.078731355,130.826795298,131.020246199,277572,,,,,,
790,2021-05-04 14:00:00,131.222694816,131.303674263,130.826795298,130.878352213,255258,,,,,,
791,2021-05-04 13:30:00,131.150713086,131.303674263,131.096726788,131.2136971,321973,,,,,,
792,2021-05-04 13:00:00,131.645587483,131.843537243,131.14171537,131.168708518,347830,,,,,,
793,2021-05-04 12:30:00,131.168708518,131.89752354,131.14171537,131.645587483,439756,,,,,,
794,2021-05-04 12:00:00,130.799802149,131.267683398,130.772809,131.186613974,515134,,,,,,
795,2021-05-04 11:30:00,130.547866092,130.934767894,130.421898064,130.790804433,434279,,,,,,
796,2021-05-04 11:00:00,130.465986874,130.705326128,130.142968858,130.556863809,417723,,,,,,
797,2021-05-04 10:30:00,130.628845539,130.664836405,130.025998546,130.453390071,551181,,,,,,
798,2021-05-04 10:00:00,129.936021383,131.123719937,129.864039652,130.610850107,887684,,,,,,
799,2021-05-04 09:30:00,129.74706934,129.882035085,129.74706934,129.882035085,2913,,,,,,
800,2021-05-04 09:00:00,129.342172105,129.738071624,129.342082128,129.738071624,4804,,,,,,
801,2021-05-04 08:30:00,129.684085326,129.801055638,129.333174389,129.342172105,5946,,,,,,
802,2021-05-04 08:00:00,130.017000829,130.017000829,129.720076191,129.720076191,15079,,,,,,
803,2021-05-04 07:30:00,130.008003113,130.008003113,130.008003113,130.008003113,589,,,,,,
804,2021-05-04 06:30:00,130.008003113,130.008003113,130.008003113,130.008003113,693,,,,,,
805,2021-05-04 05:00:00,129.567115013,129.567115013,129.567115013,129.567115013,1338,,,,,,
806,2021-05-03 20:00:00,130.232946021,130.232946021,130.097980276,130.097980276,416,,,,,,
807,2021-05-03 18:30:00,130.034996262,130.457888929,130.034996262,130.457888929,1684,,,,,,
808,2021-05-03 17:30:00,130.457888929,130.502877511,130.241943737,130.241943737,2724,,,,,,
809,2021-05-03 17:00:00,130.286932319,130.286932319,130.286932319,130.286932319,11094,,,,,,
810,2021-05-03 16:30:00,130.241943737,130.295930035,129.342172105,130.295930035,132210,,,,,,
811,2021-05-03 16:00:00,130.781806717,130.925770178,130.160964291,130.241943737,744983,,,,,,
812,2021-05-03 15:30:00,130.961761043,130.979756476,130.637843256,130.795303291,327688,,,,,,
813,2021-05-03 15:00:00,130.835793015,131.14171537,130.763811284,130.948264469,343840,,,,,,
814,2021-05-03 14:30:00,130.624976521,130.916772462,130.511875227,130.844790731,413688,,,,,,
815,2021-05-03 14:00:00,130.520872943,130.646840972,130.445831989,130.619847823,193070,,,,,,
816,2021-05-03 13:30:00,130.322923184,130.52987066,130.142968858,130.511875227,164270,,,,,,
817,2021-05-03 13:00:00,130.18795744,130.394904915,130.142968858,130.318424326,148936,,,,,,
818,2021-05-03 12:30:00,130.160964291,130.331920901,130.017000829,130.202353786,201760,,,,,,
819,2021-05-03 12:00:00,129.990007681,130.268936886,129.91802595,130.155025798,298682,,,,,,
820,2021-05-03 11:30:00,129.891032801,130.008003113,129.522126432,129.999005397,280937,,,,,,
821,2021-05-03 11:00:00,129.486135567,129.900030517,129.396158403,129.882035085,323739,,,,,,
822,2021-05-03 10:30:00,130.520872943,130.628845539,129.2566938,129.504130999,581730,,,,,,
823,2021-05-03 10:00:00,129.396158403,130.844790731,129.162217779,130.574859241,1391004,,,,,,
824,2021-05-03 09:30:00,128.658345665,129.711078475,128.658345665,129.702080758,16912,,,,,,
825,2021-05-03 09:00:00,128.667343381,128.79331141,128.496386771,128.685338814,5638,,,,,,
826,2021-05-03 08:30:00,128.570797885,128.802309126,128.570797885,128.802309126,1801,,,,,,
827,2021-05-03 07:30:00,128.370418743,128.370418743,128.370418743,128.370418743,104,,,,,,
828,2021-04-30 20:00:00,127.722583168,127.758574033,127.722583168,127.722583168,1840,,,,,,
829,2021-04-30 19:30:00,127.758574033,127.758574033,127.7405786,127.7405786,1046,,,,,,
830,2021-04-30 19:00:00,127.758574033,127.758574033,127.632606005,127.632606005,418,,,,,,
831,2021-04-30 17:00:00,127.677594586,127.776569466,127.677594586,127.776569466,446,,,,,,
832,2021-04-30 16:30:00,127.659599154,127.929530643,126.957777281,127.929530643,153642,,,,,,
833,2021-04-30 16:00:00,127.83955348,127.947526076,127.49764026,127.686592302,1033056,,,,,,
834,2021-04-30 15:30:00,127.632606005,127.848551196,127.56962199,127.83955348,317009,,,,,,
835,2021-04-30 15:00:00,127.452651678,127.781158301,127.371672231,127.614610572,263435,,,,,,
836,2021-04-30 14:30:00,127.110738458,127.452651678,127.083745309,127.443653962,180052,,,,,,
837,2021-04-30 14:00:00,127.376171089,127.409102731,127.081315926,127.110738458,178513,,,,,,
838,2021-04-30 13:30:00,127.043255586,127.389757641,126.957777281,127.380669948,434860,,,,,,
839,2021-04-30 13:00:00,127.182720189,127.218711054,126.966774997,127.043255586,170526,,,,,,
840,2021-04-30 12:30:00,127.15572704,127.218711054,127.020761295,127.182720189,171687,,,,,,
841,2021-04-30 12:00:00,126.966774997,127.245704203,126.606866344,127.166434322,433250,,,,,,
842,2021-04-30 11:30:00,126.867890094,127.146729323,126.671200016,126.972263604,949283,,,,,,
843,2021-04-30 11:00:00,127.119736174,127.119736174,126.498893748,126.876797834,834419,,,,,,
844,2021-04-30 10:30:00,127.49764026,127.524633409,126.462902883,127.164724756,1542062,,,,,,
845,2021-04-30 10:00:00,129.297183524,129.414153836,127.470647111,127.488642543,1351675,,,,,,
846,2021-04-30 09:30:00,129.171215495,129.47713785,129.171215495,129.47713785,732,,,,,,
847,2021-04-30 09:00:00,129.513128716,129.513128716,129.171215495,129.171215495,403,,,,,,
848,2021-04-30 08:30:00,129.151150588,129.513128716,129.151150588,129.513128716,2332,,,,,,
849,2021-04-30 08:00:00,129.540121864,129.558117297,129.540121864,129.558117297,299,,,,,,
850,2021-04-29 20:00:00,129.585110446,129.585110446,129.567115013,129.567115013,1171,,,,,,
851,2021-04-29 18:30:00,129.738071624,129.738071624,129.738071624,129.738071624,335,,,,,,
852,2021-04-29 17:00:00,129.756067056,129.783060205,129.702080758,129.702080758,1419,,,,,,
853,2021-04-29 16:30:00,129.783060205,129.801055638,129.774062489,129.774062489,56659,,,,,,
854,2021-04-29 16:00:00,129.693083042,129.981009964,129.621101311,129.792057921,570463,,,,,,
855,2021-04-29 15:30:00,129.711078475,129.873037368,129.666089893,129.684085326,251439,,,,,,
856,2021-04-29 15:00:00,129.594108162,129.91802595,129.567115013,129.711078475,229148,,,,,,
857,2021-04-29 14:30:00,129.351169822,129.64809446,129.324176673,129.586100195,224660,,,,,,
858,2021-04-29 14:00:00,129.279188091,129.486135567,129.216204077,129.316618591,176295,,,,,,
859,2021-04-29 13:30:00,129.099233765,129.297183524,129.01375546,129.261192659,200474,,,,,,
860,2021-04-29 13:00:00,128.955270304,129.225201793,128.892286289,129.094734907,284136,,,,,,
861,2021-04-29 12:30:00,129.036249751,129.090236048,128.658345665,128.973265736,177098,,,,,,
862,2021-04-29 12:00:00,128.721329679,129.133605041,128.658345665,129.045247467,245035,,,,,,
863,2021-04-29 11:30:00,128.946272587,129.090236048,128.649347949,128.721329679,247291,,,,,,
864,2021-04-29 11:00:00,129.198208644,133.832032549,128.853956018,128.96426802,374588,,,,,,
865,2021-04-29 10:30:00,129.495133283,129.612103595,129.117319175,129.144222346,292082,,,,,,
866,2021-04-29 10:00:00,129.684085326,130.151966574,129.367455688,129.47713785,703486,,,,,,
867,2021-04-29 09:30:00,129.387160687,129.702080758,129.276488776,129.702080758,4922,,,,,,
868,2021-04-29 09:00:00,129.461841733,129.461841733,129.252194942,129.279188091,3418,,,,,,
869,2021-04-29 08:30:00,129.117229197,129.47713785,129.117229197,129.47713785,1973,,,,,,
870,2021-04-29 08:00:00,129.162217779,129.162217779,129.162217779,129.162217779,104,,,,,,
871,2021-04-29 07:30:00,129.30618124,129.360167538,129.162217779,129.162217779,7361,,,,,,
872,2021-04-29 07:00:00,129.261192659,129.261192659,129.261192659,129.261192659,219,,,,,,
